"Store","Store"
"Stores","Stores"
"ID","ID"
"Name","Name"
"Address","Address"
"Postal Code","Postal Code"
"Zipcode","Zipcode"
"City","City"
"Country","Country"
"Store View","Store View"
"Status","Status"
"CSV","CSV"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Save Store","Save Store"
"Delete Store","Delete Store"
"Save and Continue Edit","Save and Continue Edit"
"Edit Store","Edit Store"
"New Store","New Store"
"Description","Description"
"Latitude","Latitude"
"Longitude","Longitude"
"Enabled","Enabled"
"Disabled","Disabled"
"Store Information","Store Information"
"The store has been saved.","The store has been saved."
"An error occurred while saving this store.","An error occurred while saving this store."
"Store was successfully deleted","Store was successfully deleted"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Reset","Reset"
"Back","Back"
"Export","Export"
"Add New","Add New"
"All Countries","All Countries"
"Any","Any"
"Yes","Yes"
"No","No"
"Submit","Submit"
"Reset Filter","Reset Filter"
"Search","Search"
"API Key","API Key"
"API Url","API Url"
"Api Sensor","Api Sensor"
"You can the sensor to use the geolocation","You can the sensor to use the geolocation"
"Enter here the Google API Url. Use the default value : http://maps.googleapis.com/maps/api/js?v=3","Enter here the Google API Url. Use the default value : http://maps.googleapis.com/maps/api/js?v=3"
"Enter here the Google API key","Enter here the Google API key"
"General options","General options"
